Model,Training Time (s),MSE,RMSE,MAE,R² Score
Random Forest,323.34763646125793,30194067.63170282,5494.9128866345845,419.86064938420463,0.9996924875026079
Bagging Regressor,32.61028218269348,39961492.93145086,6321.5103362607,458.476017569546,0.9995930108311089
Decision Tree,4.360411167144775,42485246.2591508,6518.070746712619,347.7480492636293,0.9995673075804549
Extra Trees Regressor,157.8953514099121,54656606.59070578,7393.010658094968,757.5225996038239,0.9994433479517665
XGB Regressor,0.5610599517822266,376786526.72387457,19410.989844000087,8503.731735764359,0.9961626049451213
Hist Gradient Boosting,1.849264144897461,1260911666.0760236,35509.31801761368,15201.221790075006,0.9871582027252666
