Model,Training Time (s),MSE,RMSE,MAE,R² Score
Random Forest,78.69885873794556,192537245.51221514,13875.779095683785,3097.374054594029,0.9980390979469657
Bagging Regressor,8.151108503341675,211414333.28529975,14540.093991625356,3192.5610194068845,0.9978468436115976
Decision Tree,1.2300803661346436,261914528.9521445,16183.77363139217,3422.9971148049262,0.9973325226702218
Extra Trees Regressor,52.77432131767273,329593988.0299916,18154.723573494353,3491.2656409439323,0.9966432389428008
XGB Regressor,0.3913905620574951,2043769472.0,45208.06866036195,13896.9755859375,0.979185163974762
Hist Gradient Boosting,1.0942020416259766,2391228603.044364,48900.19021480759,18875.511678716703,0.9756464518617687
