,MissingPercentage
year_of_reference,0.0
month_of_reference,0.0027560072345189906
fipe_code,0.0027560072345189906
authentication,0.007923520799242098
brand,0.010679528033761088
model,0.0027560072345189906
fuel,0.0027560072345189906
gear,0.0027560072345189906
engine_size,0.0027560072345189906
year_model,0.0
avg_price_brl,0.0
age_years,0.0003445009043148738
