,year_of_reference,engine_size,year_model,avg_price_brl,age_years
year_of_reference,,,,,
engine_size,,1.0,-0.12264886939390779,0.3455731428248873,0.1226511191625789
year_model,,-0.12264886939390779,1.0,0.3042937816627963,-0.9999999999999956
avg_price_brl,,0.3455731428248873,0.3042937816627963,1.0,-0.3042931794947078
age_years,,0.1226511191625789,-0.9999999999999956,-0.3042931794947078,1.0
