Model,Training Time (s),MSE,RMSE,MAE,R² Score
Extra Trees Regressor,32.7510142326355,3708.1160180739125,60.89430201647698,17.90878863359089,0.8336640855703421
Random Forest,185.74077439308167,3982.263095652026,63.105174872208586,18.62890029822421,0.8213665995653437
Bagging Regressor,19.20834469795227,4312.572198386878,65.67017738964071,19.083085942795172,0.8065498391457548
XGB Regressor,0.3745768070220947,4704.05064067758,68.586081974972,26.66044169463802,0.7889891899210454
Hist Gradient Boosting,1.3337342739105225,5217.522958853979,72.23242318276453,27.91099044638955,0.7659562300131322
Decision Tree,2.4236490726470947,6947.775010166734,83.35331433222517,19.764301206452487,0.6883418685028386
